"pais","fecha","texto"
"Mexico","9/2/2000","Más de 100.000 personas (según información periodística) se movilizan a través de la ciudad en apoyo a los estudiantes presos, contra la violación de la autonomía universitaria y en la exigencia de inmediata libertad a los detenidos."
"Mexico","5/4/2000","El CGH bloquea los accesos a la reunión, rechazando el proceso de diálogo propuesto por el rector."
"Mexico","1/1/2003","Un centenar de miembros de El Campo no Aguanta Más y de El Barzón bloquea el puente internacional Córdoba-Las Américas."
"Mexico","20/1/2003","Cerca de 1.150 trabajadores de la mina de Cananea del Grupo México reinician una suspensión de labores a fin de reclamar por un aumento de 5,25%, el otorgamiento de un bono de productividad y la reincorporación de 10 compañeros."
"Mexico","26/1/2003","Las 25 organizaciones que integran el CAP, El Campo no Aguanta Más y El Barzón rechazan el ofrecimiento oficial por unanimidad y afirman que esperan la realización de la Convención Nacional Agropecuaria."
"Mexico","27/2/2003","Habitantes de 6 municipios de Sinaloa ocupan dependencias de la CFE exigiendo una rebaja en las tarifas."
"Mexico","28/2/2003","Cerca de 80 comuneros del municipio autónomo zapatista Primero de Enero ocupan la finca Emerald Ranch, terreno particular abandonado de 10 ha en Ocosingo, Chiapas, lo que motiva patrullajes de soldados y efectivos de la policía estatal y del municipio."
"Mexico","7/3/2003","Alrededor de 15 mil integrantes del FSODO marchan en reclamo por la liberación de 16 militantes y la cancelación de 5 órdenes de aprehensión."
"Mexico","14/3/2003","Alrededor de 10 mil personas, junto a la sección 31 del Sindicato Nacional de Trabajadores de la Educación (SNTE), miembros de la Unidad de Servicios Educativos de Tlaxcala (USET) y estudiantes de educación básica, marchan por las calles de la ciudad para pronunciarse a favor de una salida pacífica al conflicto en Irak."
"Mexico","15/3/2003","Alrededor de 15 mil personas marchan del zócalo al Ángel de la Independencia bajo el lema No a la Guerra, No en Nuestro Nombre para exigir un voto contrario de México ante las Naciones Unidas."
"Mexico","17/3/2003","Alrededor de 3.500 trabajadores de la Secretaría de Salud oaxaqueña inician una huelga por 72 hs que afecta a 13 hospitales, 250 centros sanitarios y 6 jurisdicciones para reclamar la asignación de nuevas plazas y un aumento en los recursos del sector."
"Mexico","18/3/2003","Cerca de 2 mil maestros de la Coordinadora Nacional de Trabajadores de la Educación (CNTE) provenientes de 11 estados del país marchan hacia el zócalo del DF, donde demandan un aumento salarial de 100%, la fijación del presupuesto educativo en un 12% del Producto Bruto Interno y el esclarecimiento de un centenar de desapariciones de militantes."
"Mexico","18/3/2003","En Oaxaca, los docentes que se pliegan a la huelga suman cerca de 60 mil y levantan un pedido de cancelación de 12 averiguaciones previas contra dirigentes sindicales."
"Mexico","21/3/2003","Alrededor de 2 mil lesbianas marchan del Monumento a la Revolución al zócalo del DF junto a miembros de la comunidad gay, familiares y amigos para reclamar la creación de agencias especializadas en delitos por discriminación a las minorías sexuales y la implementación de campañas abiertas contra la homofobia."
"Mexico","26/3/2003","Alrededor de 40 mil personas marchan en la ciudad de Puebla en rechazo a la invasión aliada en Irak."
"Mexico","7/4/2003","Trabajadores sindicalizados de la empresa Fertinal inician un bloqueo indefinido de los accesos al puerto michoacano de la ciudad de Morelia exigiendo a los gobiernos federal y estatal y a los directivos de la empresa que destraben más de 41 millones de pesos que deben ser destinados al pago de sus indemnizaciones por despido."
"Mexico","9/4/2003","Los trabajadores despedidos de Fertinal vuelven a tomar los accesos al puerto de Morelia junto a trabajadores docentes, mineros y del ayuntamiento local."
"Mexico","9/4/2003","Efectivos del Grupo de Operaciones Especiales intentan, sin éxito, impedir la medida."
"Mexico","9/4/2003","Los cerca de 500 manifestantes levantan la protesta tras acordar con directivos de la empresa el pago de los 41 millones de pesos bloqueados."
"Mexico","12/7/2003","Más de 3.500 obreros de la planta poblana de Volkswagen marchan junto a la UNT por la capital para reclamar a los gobiernos del estado y del ayuntamiento por medidas de apoyo ante el plan de reducción de 2 mil puestos laborales anunciado por la empresa."
